         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      751    0.000    0.000    0.015    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:684(cmdline)
      595    0.003    0.000    0.014    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1353(__init__)
        1    0.006    0.006    0.014    0.014 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<listcomp>)
   303/78    0.006    0.000    0.014    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:509(_parse)
      246    0.002    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/PngImagePlugin.py:921(load_read)
       88    0.000    0.000    0.014    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:794(reducer_override)
        3    0.000    0.000    0.013    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:60(pickle_dumps)
      751    0.000    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:402(cmdline)
       29    0.000    0.000    0.013    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:682(_function_reduce)
      252    0.001    0.000    0.013    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:658(Union)
      751    0.013    0.000    0.013    0.000 {built-in method psutil._psutil_osx.proc_cmdline}
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1229(start_raylet)
      138    0.000    0.000    0.012    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:298(_compile_and_eval)
        3    0.000    0.000    0.012    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:676(_dynamic_function_reduce)
      834    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.000    0.000    0.012    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:168(_function_getstate)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/config.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_middlewares.py:1(<module>)
       33    0.011    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1378(start_raylet)
       30    0.000    0.000    0.011    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/plugins/pillow.py:66(__init__)
        1    0.000    0.000    0.011    0.011 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_log.py:1(<module>)
        1    0.000    0.000    0.010    0.010 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:193(__init__)
        1    0.000    0.000    0.010    0.010 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
      252    0.001    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:482(serialize)
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_urldispatcher.py:1(<module>)
       17    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1198(start_gcs_server)
       28    0.001    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:640(__init__)
       18    0.010    0.001    0.010    0.001 {built-in method posix.listdir}
      110    0.000    0.000    0.010    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:306(_make_method)
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1128(start_log_monitor)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1314(start_gcs_server)
        3    0.006    0.002    0.009    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle.py:346(_find_imported_submodules)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/workers/base.py:1(<module>)
       28    0.001    0.000    0.009    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:479(_transform_attrs)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:972(start_log_monitor)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1111(start_reaper_process)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:931(start_reaper)
       12    0.009    0.001    0.009    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/experimental/internal_kv.py:33(_internal_kv_get)
       66    0.000    0.000    0.009    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:571(_code)
      112    0.001    0.000    0.009    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:433(_serialize_to_msgpack)
1170/1070    0.006    0.000    0.009    0.000 {built-in method __new__ of type object at 0x10c5eefa8}
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1(<module>)
