         292146 function calls (287096 primitive calls) in 16.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.004    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:1022(add_eq)
        5    0.000    0.000    0.004    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:884(_process_class)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/cookiejar.py:1(<module>)
        2    0.000    0.000    0.004    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:499(get_resource_spec)
       65    0.000    0.000    0.004    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1647(__getitem__)
     4637    0.002    0.000    0.004    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1245(_is_dunder)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/metrics_core.py:1(<module>)
        2    0.000    0.000    0.004    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/state.py:143(node_table)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/http/__init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/resource_spec.py:142(resolve)
      365    0.001    0.000    0.004    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:66(copy)
      264    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.003    0.001    0.004    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle.py:346(_find_imported_submodules)
       88    0.000    0.000    0.004    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/config.py:236(__new__)
      807    0.000    0.000    0.004    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:694(<genexpr>)
